gene_symbol,tissue,ntpm
UQCRC1,tongue,825.7
HHATL,brain,233.4
HHATL,heart muscle,487.7
HHATL,skeletal muscle,264.6
HHATL,tongue,144.0
NCAPD2,lymphoid tissue,71.5
GIPR,stomach 1,21.4
PHF7,testis,1149.0
SEMA3G,adipose tissue,67.3
SEMA3G,breast,55.7
NISCH,brain,276.3
STAB1,lymphoid tissue,428.0
FUZ,testis,76.2
SLC6A13,kidney,142.8
SLC6A13,liver,36.8
IDS,brain,432.1
PRSS3,pancreas,29336.6
ZNF200,testis,16.8
CD4,liver,143.1
CD4,lymphoid tissue,204.2
CD4,parathyroid gland,163.6
LRRC23,fallopian tube,95.7
BTK,bone marrow,24.2
BTK,lymphoid tissue,62.7
FMO1,kidney,185.7
NME1-NME2,retina,47.6
SLC6A7,brain,67.7
TSPAN9,brain,148.5
TSPAN9,heart muscle,120.6
ANOS1,lung,40.7
DPF1,brain,30.9
SYT7,brain,60.4
SYT7,liver,79.3
SYT7,prostate,47.8
SYT7,salivary gland,53.7
PLAUR,bone marrow,650.6
ANLN,brain,163.3
ZBTB32,testis,47.0
TYROBP,bone marrow,562.9
TYROBP,lymphoid tissue,411.3
GABRA3,brain,16.4
GABRA3,choroid plexus,32.1
GABRA3,retina,8.3
CD22,lymphoid tissue,215.0
CD22,ovary,124.5
SEMA3B,adrenal gland,162.8
SEMA3B,brain,159.5
LTF,bone marrow,4021.0
LTF,salivary gland,1063.0
NR1H4,intestine,36.8
NR1H4,liver,112.7
ALOX5,lung,69.4
ALOX5,lymphoid tissue,90.4
EHD3,brain,41.0
EHD3,esophagus,40.9
SLC7A14,brain,15.0
SLC7A14,pituitary gland,6.7
SLC7A14,retina,5.7
CLDN11,brain,119.5
CLDN11,ovary,46.0
CLDN11,testis,50.6
DNASE1L1,skeletal muscle,136.0
DNASE1L1,tongue,88.4
GPRC5A,lung,190.3
GPRC5A,urinary bladder,121.8
CD6,intestine,12.6
CD6,lymphoid tissue,40.4
TACC3,bone marrow,53.1
TACC3,lymphoid tissue,48.0
TACC3,testis,54.6
CAPN1,esophagus,267.3
ACP3,prostate,3409.5
MDH1,heart muscle,1262.4
MDH1,tongue,1722.1
CCDC88C,lymphoid tissue,37.7
WAS,bone marrow,61.5
WAS,lymphoid tissue,79.9
DPEP1,intestine,364.7
DPEP1,kidney,245.4
DPEP1,pancreas,477.7
BID,bone marrow,97.6
NPC1L1,intestine,51.0
NPC1L1,liver,46.6
XYLT2,stomach 1,85.0
STMN4,brain,426.0
ISL1,retina,21.2
ISL1,seminal vesicle,18.1
ISL1,vagina,15.2
CHDH,kidney,35.1
CHDH,liver,33.2
IL20RA,breast,24.8
IL20RA,skin 1,35.5
CLCA1,intestine,1318.0
CLCA4,esophagus,352.4
CLCA4,intestine,241.9
SLC38A5,pancreas,223.8
RUFY3,retina,111.4
CNTN1,brain,120.8
SLC11A1,choroid plexus,34.3
SLC11A1,lung,83.5
SLC11A1,lymphoid tissue,51.8
ATP1A2,brain,582.8
ATP1A2,skeletal muscle,825.7
ATP1A2,tongue,446.6
VSIG2,stomach 1,584.2
MARCO,liver,88.8
MARCO,lung,188.3
MARCO,lymphoid tissue,83.1
CYP24A1,endometrium 1,14.1
CYP24A1,kidney,31.6
CYP24A1,lymphoid tissue,9.9
CYP24A1,placenta,9.4
CYP24A1,urinary bladder,27.0
SYT13,brain,43.7
SYT13,gallbladder,19.5
CD74,lymphoid tissue,4925.3
HGF,placenta,292.9
NCDN,brain,912.9
SAMD4A,brain,78.3
SAMD4A,skeletal muscle,88.3
SAMD4A,testis,99.6
RUNX3,bone marrow,66.3
RUNX3,lymphoid tissue,33.3
PLEKHB1,brain,2714.0
PLEKHB1,retina,703.2
SERPINB1,bone marrow,440.9
SERPINB1,esophagus,497.6
CYP3A43,liver,38.6
SLC7A9,intestine,122.3
SLC7A9,kidney,63.7
NRXN3,brain,123.6
NRXN3,retina,39.8
CPS1,liver,994.6
C8B,liver,607.6
FHL1,skeletal muscle,10741.5
FHL1,tongue,9124.0
GABRA1,brain,52.4
GABRA1,retina,16.5
GRAMD1B,adrenal gland,204.1
GRAMD1B,brain,111.7
GRAMD1B,retina,89.2
NDUFS1,heart muscle,170.1
NDUFS1,skeletal muscle,210.5
NDUFS1,tongue,210.3
ALAS1,adrenal gland,697.4
ALAS1,liver,513.2
BIRC3,intestine,83.8
BIRC3,lymphoid tissue,132.2
DERA,liver,97.7
ABCC2,intestine,37.9
ABCC2,liver,113.8
DEF6,lymphoid tissue,60.1
PLEKHO1,intestine,189.3
GCLM,liver,45.3
DEPDC1,bone marrow,4.7
DEPDC1,lymphoid tissue,7.5
DEPDC1,testis,7.5
RRAGD,skeletal muscle,79.1
RRAGD,tongue,56.3
HSD17B6,liver,1686.3
NR1H3,liver,84.3
TOMM34,testis,119.2
VIM,blood vessel,5524.1
CD44,salivary gland,469.7
KCNG1,cervix,49.5
KCNG1,endometrium 1,80.2
AGPAT4,brain,53.1
SLAMF7,intestine,30.5
SLAMF7,lymphoid tissue,58.0
SLAMF7,stomach 1,32.1
INSRR,kidney,3.8
INSRR,testis,1.9
SH2D2A,lymphoid tissue,13.8
TNFRSF1B,lymphoid tissue,64.5
POU2F2,lymphoid tissue,47.4
TBPL1,testis,118.4
BMAL2,esophagus,26.1
BMAL2,lymphoid tissue,20.5
BCLAF1,bone marrow,127.3
ANK1,skeletal muscle,922.8
ANK1,tongue,592.2
IBSP,blood vessel,2.5
IBSP,pituitary gland,1.9
HMGB3,placenta,128.3
MUSK,intestine,2.7
MUSK,skeletal muscle,3.8
IKZF2,lymphoid tissue,38.3
IFT88,testis,65.5
ZCCHC8,bone marrow,41.2
LRRC7,brain,7.9
GAB2,brain,54.0
ATP6V0A1,brain,98.9
SLC4A7,intestine,53.6
SLC4A7,retina,67.5
APBA2,brain,76.5
MAP2K3,bone marrow,200.3
CLXN,choroid plexus,51.3
CLXN,fallopian tube,86.1
CLXN,testis,35.9
MYOC,blood vessel,95.1
MYOC,tongue,103.4
DEPDC1B,bone marrow,10.5
DEPDC1B,gallbladder,19.7
DEPDC1B,lymphoid tissue,19.3
DEPDC1B,testis,11.8
DAPK2,skeletal muscle,45.4
DAPK2,thyroid gland,39.7
STAP1,lymphoid tissue,47.7
CUL3,testis,193.0
MYOM2,heart muscle,324.6
MYOM2,skeletal muscle,372.0
OTC,intestine,105.7
OTC,liver,353.1
CYP46A1,brain,159.2
SLC18A1,adrenal gland,23.7
USP2,skeletal muscle,157.6
CASR,parathyroid gland,615.6
TUBG2,brain,120.4
HOXC8,epididymis,14.6
HOXC8,skeletal muscle,14.6
PI4K2B,liver,54.1
TLL1,brain,6.4
TLL1,placenta,6.0
VCAN,blood vessel,171.7
MSR1,lung,113.2
CDH1,parathyroid gland,186.0
DNAH5,choroid plexus,2.8
DNAH5,fallopian tube,3.3
C6,liver,588.3
SOX30,testis,76.2
BEST2,intestine,42.7
BEST2,skin 1,16.9
PHLPP2,intestine,20.7
PHLPP2,retina,29.8
SPDL1,testis,33.2
RTN4R,brain,82.6
CDH10,brain,18.5
RAB27B,stomach 1,41.7
MYO16,brain,2.6
MYO16,pituitary gland,2.4
TNC,blood vessel,345.5
TNC,smooth muscle,447.3
RIPOR3,kidney,40.3
SPATA7,testis,53.2
RETSAT,adipose tissue,231.9
USH2A,liver,6.5
USH2A,retina,17.8
ZPBP,testis,133.7
TG,thyroid gland,8743.8
ADAM28,epididymis,336.5
ADAM28,stomach 1,103.8
BARX2,esophagus,142.8
BARX2,salivary gland,123.8
BARX2,vagina,66.3
DCUN1D1,testis,231.3
ZIC2,brain,150.4
LCP2,bone marrow,154.8
LCP2,lymphoid tissue,107.3
ADRB1,heart muscle,20.3
ADRB1,lung,11.4
ADRB1,placenta,27.4
GUCA2B,intestine,138.2
EPHA3,prostate,29.5
DSG2,intestine,99.0
DSG2,parathyroid gland,148.5
GPM6B,brain,709.5
GPM6B,retina,180.8
MAGEC2,testis,18.4
ARAP2,bone marrow,37.5
CP,liver,1750.2
DTNBP1,brain,89.8
DTNBP1,retina,117.7
XK,bone marrow,13.4
XK,intestine,11.4
XK,stomach 1,10.9
ANO2,retina,190.9
FAM184B,brain,1.8
FAM184B,retina,1.6
FAM184B,skeletal muscle,3.9
MAP4,brain,890.0
MAP4,skeletal muscle,562.4
ROS1,epididymis,55.3
ROS1,lung,29.9
USP28,skeletal muscle,53.2
CC2D2A,retina,78.4
ZNF800,bone marrow,70.4
TNFRSF17,intestine,27.3
TNFRSF17,lymphoid tissue,44.8
TNFRSF17,stomach 1,23.0
LMO3,brain,110.4
LMO3,intestine,67.4
GUCA1A,retina,703.2
CELF2,bone marrow,73.5
R3HDM1,brain,62.7
COL9A2,brain,135.9
COL9A2,pituitary gland,106.4
ADAMTS6,placenta,1.8
H6PD,liver,89.4
UTS2,adrenal gland,3.7
UTS2,bone marrow,2.7
UTS2,brain,6.4
TNFRSF9,lymphoid tissue,9.2
EPN3,esophagus,34.8
EPN3,skin 1,30.1
EPN3,stomach 1,34.7
LTBP1,blood vessel,382.8
RCN1,epididymis,623.3
ELN,blood vessel,1227.9
FOXP3,epididymis,4.9
FOXP3,lymphoid tissue,6.6
PPP1R3F,brain,25.8
NEXMIF,brain,2.9
DKK3,choroid plexus,371.6
DKK3,heart muscle,1240.0
ARHGEF5,skin 1,45.2
NFE2L3,placenta,32.3
MCUR1,retina,75.6
SLC4A8,brain,12.0
SLC4A8,pituitary gland,16.9
SLC4A8,retina,10.3
SLC4A8,testis,11.0
LAMC3,placenta,45.8
PTGER3,endometrium 1,81.4
PTGER3,kidney,75.4
PTGER3,smooth muscle,63.3
TNIP3,lymphoid tissue,6.0
TNIP3,urinary bladder,3.9
COL23A1,thyroid gland,18.8
RAD51,lymphoid tissue,14.6
RAD51,testis,22.6
POLQ,bone marrow,5.6
POLQ,lymphoid tissue,4.2
CYBA,bone marrow,777.5
CYBA,lymphoid tissue,781.6
MPHOSPH9,lymphoid tissue,30.5
PRSS8,salivary gland,231.3
RRP12,bone marrow,85.9
RRP12,skeletal muscle,36.0
MSMO1,liver,537.9
ALX4,breast,1.7
ALX4,choroid plexus,1.5
NNAT,brain,914.4
NNAT,pituitary gland,1528.9
MCF2L2,brain,32.6
MCF2L2,retina,26.3
NRIP2,blood vessel,16.7
NRIP2,brain,55.5
KCNQ1,adrenal gland,196.1
