gene_symbol,tissue,ntpm
GDF5,salivary gland,9.3
MMP24,brain,67.5
C20orf173,testis,33.6
FAM83C,cervix,10.3
FAM83C,esophagus,31.5
FAM83C,skin 1,40.1
FAM83C,vagina,14.2
BPIFB1,cervix,532.0
BPIFB1,salivary gland,255.4
BPIFB1,stomach 1,483.0
PLAGL2,bone marrow,30.4
GRPR,pancreas,19.1
AMOT,epididymis,137.7
AMOT,tongue,51.2
ST3GAL3,skeletal muscle,82.4
ST3GAL3,tongue,77.3
TMEM53,liver,56.1
KLC1,brain,513.1
MCF2L,brain,158.2
F10,liver,149.7
PROZ,liver,109.2
SLURP1,esophagus,1037.0
SLURP1,skin 1,854.7
IGFLR1,liver,47.1
PDCD2L,skeletal muscle,24.2
KIRREL2,pancreas,67.0
FFAR2,bone marrow,19.1
FFAR2,lymphoid tissue,21.0
HCST,bone marrow,239.0
HCST,lymphoid tissue,112.5
FFAR1,bone marrow,2.9
FFAR1,brain,2.2
FFAR1,ovary,2.5
FFAR1,pancreas,2.4
COX6B1,tongue,2287.9
KRT36,lymphoid tissue,3.1
KRT36,skin 1,1.7
THRA,brain,400.8
CCR7,intestine,19.7
CCR7,lymphoid tissue,78.7
NR1D1,skin 1,329.3
PRDX5,choroid plexus,1322.0
RRAS,blood vessel,476.7
PRRG2,parathyroid gland,26.6
TSKS,testis,115.8
FLRT1,adrenal gland,4.1
FLRT1,brain,6.9
ASL,liver,356.0
CSN1S1,breast,1289.8
STATH,salivary gland,8578.0
HTN1,salivary gland,45682.2
STAT5A,adipose tissue,74.1
WNK4,kidney,41.5
WNK4,prostate,13.8
PRKCG,brain,50.1
IFI6,choroid plexus,3349.7
DACH2,brain,10.4
DACH2,epididymis,3.5
DACH2,fallopian tube,3.6
SSX1,testis,6.9
CFP,bone marrow,79.3
CFP,lymphoid tissue,50.0
SIX1,parathyroid gland,45.0
SIX1,salivary gland,48.1
SIX1,skeletal muscle,111.8
SIX1,tongue,43.2
DLGAP5,bone marrow,28.0
DLGAP5,lymphoid tissue,39.1
DLGAP5,testis,16.3
HSPA2,brain,344.7
HSPA2,skeletal muscle,177.8
PZP,liver,76.4
EVI2A,brain,164.5
EVI2A,lymphoid tissue,97.8
OMG,brain,80.4
AIF1L,brain,262.3
AIF1L,kidney,358.0
AIF1L,lymphoid tissue,194.9
FAM78A,skeletal muscle,58.8
FAM78A,testis,30.0
NUP214,testis,119.1
CTAG2,heart muscle,5.0
CTAG2,testis,10.2
AVPR2,adipose tissue,9.6
AVPR2,kidney,12.5
TMEM35A,brain,55.8
TMEM35A,intestine,37.3
TMEM35A,seminal vesicle,48.0
RGS13,lymphoid tissue,44.7
IPPK,esophagus,30.7
OMD,blood vessel,63.3
FGD3,bone marrow,37.3
FGD3,lymphoid tissue,32.5
HIVEP3,lymphoid tissue,6.2
EDN2,cervix,29.8
EDN2,esophagus,20.2
EDN2,vagina,31.7
BCL11B,brain,12.4
BCL11B,lymphoid tissue,34.1
BCL11B,skin 1,14.2
COX7C,skeletal muscle,2234.1
ABHD8,brain,99.0
MASP1,cervix,100.9
MASP1,heart muscle,108.6
MASP1,liver,171.6
ATP13A4,epididymis,61.0
ATP13A4,parathyroid gland,54.9
ATP13A4,thyroid gland,48.9
PLAAT1,skeletal muscle,84.4
PLAAT1,testis,77.8
PLAAT1,tongue,41.6
IL22,urinary bladder,1.4
TSPAN8,intestine,891.6
TSPAN8,stomach 1,595.5
BEST3,skeletal muscle,66.8
BEST3,tongue,52.0
RAB3IP,choroid plexus,109.6
TAS2R4,brain,3.1
CRYGN,thyroid gland,15.3
TRPV5,brain,1.6
TRPV5,kidney,4.0
AUNIP,bone marrow,5.9
AUNIP,testis,14.9
PIN1,brain,256.4
PLA2G5,choroid plexus,55.7
PLA2G5,heart muscle,46.4
ADGRE2,lymphoid tissue,18.3
OR7C1,parathyroid gland,6.4
F2RL3,adipose tissue,18.9
F2RL3,breast,19.0
F2RL3,lung,33.0
F2RL3,thyroid gland,19.3
UQCR11,skeletal muscle,292.4
SYNGR3,brain,125.4
PKMYT1,bone marrow,26.1
PKMYT1,testis,57.6
WFIKKN1,brain,5.0
FBXL16,brain,504.7
GNG13,brain,58.3
GNG13,retina,51.9
TICAM1,esophagus,44.2
IL17B,blood vessel,10.6
EMC6,skeletal muscle,178.5
TUBA4A,skeletal muscle,345.9
TUBA4A,tongue,249.0
VIL1,intestine,410.7
TNFRSF19,salivary gland,52.1
TNFRSF19,skin 1,101.5
ECHS1,liver,1285.7
GNGT1,retina,1760.3
POR,liver,292.8
FGL2,blood vessel,153.8
FGL2,lymphoid tissue,153.1
STEAP4,adipose tissue,106.6
GNAI1,brain,37.1
SGCE,ovary,115.3
LRFN1,brain,14.3
SPINK2,epididymis,4955.9
RASL11B,lymphoid tissue,28.0
RASL11B,ovary,64.4
ADM2,kidney,7.7
ADM2,pancreas,14.6
ADM2,thyroid gland,10.8
ASPHD2,brain,18.6
ASPHD2,skin 1,10.4
VPREB3,epididymis,48.5
VPREB3,intestine,74.4
VPREB3,lymphoid tissue,110.8
SDF2L1,liver,167.9
GAL3ST1,brain,66.3
GAL3ST1,intestine,22.9
GAL3ST1,kidney,22.2
YWHAH,blood vessel,288.0
YWHAH,brain,728.3
RFPL1,brain,16.4
RFPL2,brain,4.3
RFPL2,prostate,3.4
GNAZ,brain,45.1
MGAT3,brain,41.3
MGAT3,intestine,26.7
ADORA2A,bone marrow,38.3
ADORA2A,brain,108.6
ADORA2A,lymphoid tissue,50.4
RFPL3,testis,23.3
MCHR1,brain,9.3
MCHR1,endometrium 1,5.5
MCHR1,ovary,9.9
TPST2,pancreas,378.0
BAIAP2L2,intestine,92.8
BAIAP2L2,kidney,36.3
MPST,liver,370.6
TST,liver,555.5
APOL5,skeletal muscle,1.3
APOL5,tongue,1.9
IGLL1,bone marrow,66.3
IGLL1,testis,24.2
RAC2,bone marrow,389.1
RAC2,lymphoid tissue,362.6
LIF,gallbladder,44.7
LIF,urinary bladder,84.6
C22orf23,skin 1,24.5
C22orf23,testis,87.9
APOBEC3A,bone marrow,88.5
APOBEC3A,lymphoid tissue,47.9
RIBC2,choroid plexus,12.6
RIBC2,fallopian tube,9.2
RIBC2,testis,28.8
KRT17,breast,409.9
KRT17,skin 1,953.7
KRT17,urinary bladder,590.8
RNF112,brain,105.5
SPECC1,brain,42.9
CPA4,esophagus,21.0
CPA4,skin 1,53.9
DOCK4,brain,28.0
CDHR3,choroid plexus,34.2
CDHR3,fallopian tube,102.3
VGF,brain,143.5
VGF,pituitary gland,91.1
PODXL,kidney,130.6
FOXP2,intestine,17.4
STRIP2,brain,33.6
STRIP2,choroid plexus,43.8
STRIP2,skeletal muscle,26.7
IFT22,choroid plexus,69.9
FLNC,heart muscle,587.8
FLNC,skeletal muscle,1324.7
FLNC,tongue,413.4
LRRC4,brain,28.6
CCDC136,brain,82.4
CCDC136,retina,48.7
CCDC136,testis,175.1
LRRC17,ovary,92.6
NDUFA5,tongue,376.8
FEZF1,brain,13.1
FEZF1,pituitary gland,3.0
FEZF1,testis,4.2
OPN1SW,retina,38.0
MYO1B,liver,238.9
HOXD1,brain,17.2
HOXD1,epididymis,7.1
HOXD3,epididymis,39.4
PDE11A,liver,5.9
PDE11A,parathyroid gland,9.7
CHN1,brain,842.8
GAD1,brain,69.1
GAD1,parathyroid gland,43.4
GAD1,retina,27.5
HOXD9,cervix,41.1
HOXD9,endometrium 1,59.3
HOXD9,kidney,49.0
HOXD10,cervix,20.7
HOXD10,endometrium 1,38.4
HOXD10,kidney,24.2
HOXD10,vagina,24.8
HOXD11,cervix,3.4
HOXD11,endometrium 1,6.4
HOXD11,intestine,3.3
HOXD11,kidney,5.1
HOXD11,vagina,4.3
HOXD13,cervix,11.8
HOXD13,intestine,15.8
HOXD13,prostate,9.0
HOXD13,seminal vesicle,15.3
HOXD13,vagina,15.1
ARHGAP22,brain,36.7
WDFY4,bone marrow,11.0
WDFY4,lymphoid tissue,26.6
CGNL1,kidney,63.8
TMOD2,brain,63.1
TTBK2,testis,28.3
ELL3,lymphoid tissue,54.0
ELL3,skin 1,25.0
ICE2,parathyroid gland,32.5
ALDH1A2,endometrium 1,76.9
ALDH1A2,fallopian tube,70.1
KNSTRN,testis,59.0
KNSTRN,thyroid gland,51.2
CHAC1,pancreas,64.7
CHAC1,skeletal muscle,108.2
ARPP19,brain,481.4
CALML4,choroid plexus,27.3
CALML4,intestine,36.3
ISLR,cervix,214.1
LOXL1,blood vessel,67.3
ACKR4,intestine,14.8
BBOX1,kidney,436.5
BBOX1,liver,123.3
MYOD1,skeletal muscle,34.4
KCNC1,brain,98.9
TPH1,choroid plexus,6.4
TPH1,intestine,18.6
TPH1,stomach 1,14.5
CSRP3,heart muscle,2447.5
CSRP3,skeletal muscle,1545.8
CSRP3,tongue,540.3
E2F8,bone marrow,13.4
E2F8,lymphoid tissue,11.0
E2F8,skeletal muscle,11.8
SOX15,esophagus,85.9
SOX15,skin 1,48.3
PIMREG,lymphoid tissue,13.0
USP6,skeletal muscle,19.0
USP6,testis,12.4
SHBG,liver,59.3
PLD2,esophagus,62.1
AIPL1,retina,775.1
CD68,lung,337.0
CD68,lymphoid tissue,349.0
TXNDC17,esophagus,178.4
ATP1B2,brain,290.0
ATP1B2,retina,570.1
FXR2,skeletal muscle,113.4
KIF1C,skeletal muscle,525.9
KIF1C,tongue,363.3
DNAAF11,choroid plexus,46.5
DNAAF11,testis,24.5
CDKN2D,bone marrow,267.8
CDKN2D,brain,127.7
CDKN2D,lymphoid tissue,72.6
KLK14,skin 1,9.9
SIGLEC9,lymphoid tissue,19.9
KLK10,cervix,45.7
KLK10,esophagus,136.1
KLK10,vagina,60.0
KLK8,cervix,41.5
KLK8,esophagus,115.9
KLK8,skin 1,96.5
KLK8,vagina,47.8
AJUBA,skin 1,58.2
FOXA1,prostate,70.2
EGLN3,heart muscle,101.7
EGLN3,skin 1,114.3
MIS18BP1,bone marrow,38.5
NRL,retina,294.2
RNASE1,pancreas,8599.3
CDO1,choroid plexus,318.9
CDO1,liver,473.7
QRICH2,testis,21.3
FOXJ1,choroid plexus,70.2
FOXJ1,fallopian tube,50.0
AANAT,retina,10.2
AANAT,testis,4.5
FGF13,brain,64.9
FGF13,skeletal muscle,51.9
FGF13,tongue,41.3
ART1,skeletal muscle,44.4
ART1,tongue,34.3
CHRNA10,skeletal muscle,44.8
CDKN1C,brain,191.6
CDKN1C,ovary,188.1
SGO1,bone marrow,8.2
SGO1,lymphoid tissue,12.1
SGO1,testis,6.2
VCY1B,testis,64.3
VCY,testis,60.7
CDH15,brain,79.7
CDH15,skeletal muscle,54.1
KLF16,brain,43.4
DOHH,brain,38.7
SHC2,pancreas,100.4
PLPPR3,brain,40.2
INS-IGF2,pancreas,8.3
INS-IGF2,placenta,2.1
ABHD17A,brain,203.3
LBP,liver,1320.7
SYT5,brain,106.0
SYT5,pituitary gland,55.4
TNNI3,heart muscle,10359.2
CBFA2T3,brain,36.7
CBFA2T3,lymphoid tissue,27.4
CBFA2T3,pancreas,25.8
GAMT,liver,610.2
GAMT,skeletal muscle,1157.4
GAMT,tongue,435.1
PRRG3,brain,11.0
PRRG3,epididymis,7.0
GALNT8,intestine,29.3
GALNT8,testis,10.4
KCNA5,blood vessel,42.2
KCNA5,choroid plexus,57.3
KCNA5,heart muscle,36.5
CRACR2A,bone marrow,16.0
CRACR2A,intestine,12.7
CRACR2A,salivary gland,36.4
NXNL2,cervix,9.6
NXNL2,fallopian tube,14.1
NALF2,heart muscle,34.6
GDPD2,intestine,19.6
GDPD2,lymphoid tissue,58.9
GDPD2,skin 1,45.1
SH3BP4,salivary gland,78.6
LDLR,adrenal gland,112.1
TSPAN16,testis,124.5
ANGPTL8,liver,408.5
CNN1,blood vessel,2087.4
CNN1,intestine,2743.0
CNN1,smooth muscle,2059.2
APOE,adrenal gland,3391.3
APOE,brain,2714.9
APOE,liver,6533.9
APOC1,liver,18659.9
GADD45G,heart muscle,313.6
GADD45G,liver,333.6
DPP6,brain,55.9
DPP6,endometrium 1,51.4
ACE2,gallbladder,62.3
ACE2,intestine,230.5
ACE2,kidney,82.4
ATP8B3,bone marrow,5.5
ATP8B3,testis,20.6
GDF1,brain,41.6
NCAN,brain,98.5
KIF1A,brain,121.5
KIF1A,pancreas,32.2
KIF1A,retina,54.3
PLVAP,thyroid gland,419.4
BST2,adrenal gland,500.9
BST2,ovary,677.0
USHBP1,heart muscle,12.8
MAS1,brain,2.0
ACSBG2,testis,120.8
ACTN4,blood vessel,539.7
STK33,choroid plexus,38.3
STK33,testis,45.2
NDUFA10,tongue,309.9
EPO,liver,34.4
ARPC1B,lymphoid tissue,288.1
CACNG6,skeletal muscle,84.9
CACNG6,tongue,28.0
FCHO1,brain,23.8
FCHO1,lymphoid tissue,14.9
FCHO1,skin 1,20.2
UNC13A,brain,40.0
UNC13A,pituitary gland,30.1
UNC13A,retina,17.1
KLHDC7B,lymphoid tissue,4.8
KLHDC7B,parathyroid gland,12.8
GDF15,kidney,328.4
IQCN,testis,30.1
HRC,heart muscle,692.1
HRC,skeletal muscle,424.2
HRC,tongue,228.2
SULT4A1,brain,96.3
CRB3,esophagus,52.7
OLFM1,brain,906.9
CAMSAP1,retina,97.9
UBAC1,skeletal muscle,290.9
UBAC1,tongue,159.7
SAG,retina,1359.9
ZBTB46,brain,24.1
SAMD10,brain,29.7
LSP1,adrenal gland,218.5
LSP1,lymphoid tissue,251.1
TNNT3,skeletal muscle,13033.0
TNNT3,tongue,4206.7
TNNI2,skeletal muscle,7469.2
TNNI2,tongue,2445.9
COL5A1,cervix,144.7
CALY,brain,304.6
CALY,pituitary gland,155.6
CYP2E1,liver,9697.0
HBZ,bone marrow,3.7
HBZ,testis,13.9
MNX1,intestine,6.8
MNX1,pancreas,15.3
ZNF337,brain,72.1
CEP85,skeletal muscle,124.5
CEP85,tongue,61.6
GATA5,fallopian tube,11.0
GATA5,testis,11.3
GATA5,urinary bladder,15.9
RBBP8NL,esophagus,8.7
ADRM1,skeletal muscle,376.2
ASS1,kidney,1200.9
ASS1,liver,1907.1
PRDM12,brain,1.0
FIBCD1,adrenal gland,9.9
FIBCD1,brain,24.4
FIBCD1,parathyroid gland,11.8
FIBCD1,testis,6.4
TMEM160,brain,99.9
NPAS1,brain,10.4
NPAS1,skin 1,7.6
GMFG,bone marrow,544.6
GMFG,lymphoid tissue,428.5
MAP3K10,brain,73.5
ARHGEF16,intestine,41.4
SMPDL3B,intestine,22.6
SMPDL3B,pancreas,46.6
THEMIS2,bone marrow,203.3
THEMIS2,lymphoid tissue,117.7
CLIP1,skeletal muscle,283.5
CCDC62,testis,65.5
ANGPTL6,liver,29.3
SHFL,liver,100.5
PNCK,brain,101.3
PNCK,intestine,78.2
DUSP9,kidney,52.1
DUSP9,placenta,68.3
MPP1,bone marrow,110.2
ZNF331,adrenal gland,117.5
SLC7A10,adipose tissue,30.2
SLC7A10,brain,20.1
SLC7A10,breast,13.0
LRP3,brain,76.5
MTRFR,lymphoid tissue,55.9
CASZ1,skin 1,46.8
PKDREJ,testis,3.2
HSD17B3,liver,10.9
HSD17B3,testis,34.4
NUTM2F,testis,1.8
HABP4,brain,109.9
FBP2,choroid plexus,217.1
FBP2,skeletal muscle,706.1
FBP2,tongue,359.7
PRRG1,brain,40.4
RGN,adrenal gland,176.1
RGN,liver,358.7
POLN,adipose tissue,2.2
POLN,testis,1.8
ULBP2,esophagus,5.9
ULBP3,skeletal muscle,6.1
ULBP3,testis,5.9
EPS8L1,esophagus,120.5
EPS8L1,skin 1,59.2
LILRB2,bone marrow,33.1
LILRB2,lung,14.3
LILRB2,lymphoid tissue,48.8
TTLL9,choroid plexus,14.6
BPIFA2,salivary gland,6453.2
RBM39,bone marrow,162.0
COX4I2,lung,48.5
COX4I2,placenta,108.4
BPIFA3,testis,52.4
DEFB118,epididymis,935.8
ACSS2,skeletal muscle,109.9
ARHGEF9,brain,68.4
ARHGEF9,retina,81.7
C1QL1,brain,41.9
C1QL1,kidney,17.1
GFAP,brain,15929.3
PYY,intestine,66.2
HIGD1B,brain,48.5
HIGD1B,placenta,98.1
TEX101,testis,111.4
CCL25,intestine,547.3
CCL25,lymphoid tissue,718.3
ENSG00000131152,skeletal muscle,4.0
GINS2,bone marrow,13.8
COX7B,heart muscle,1007.2
COX7B,skeletal muscle,1052.7
SLC34A1,kidney,145.2
F12,liver,593.2
PRR7,brain,31.9
NFATC1,choroid plexus,33.8
IDO1,lymphoid tissue,55.0
IDO1,placenta,104.2
RAB11FIP4,brain,52.7
RAB11FIP4,testis,47.0
RLIM,bone marrow,38.9
CDX4,skin 1,1.0
ADGRE3,bone marrow,3.0
ADGRE3,lymphoid tissue,5.7
RFTN1,lymphoid tissue,110.0
C3orf20,testis,6.2
GALNT15,adipose tissue,132.1
SLC6A6,retina,133.6
KCNC3,brain,56.7
KCNC3,thyroid gland,39.3
NAPSA,lung,983.7
LRRC4B,brain,99.9
LRRC4B,cervix,35.5
KIF3A,brain,40.4
KIF3A,retina,31.3
GFPT2,adipose tissue,107.6
TUBG1,testis,155.1
PSMC3IP,testis,24.3
AOC3,adipose tissue,397.0
AOC3,blood vessel,328.7
G6PC1,kidney,70.0
G6PC1,liver,253.6
ACAP3,brain,155.0
C1orf159,testis,22.4
ANO1,epididymis,81.3
ANO1,seminal vesicle,83.9
KREMEN2,retina,3.8
KREMEN2,skin 1,7.5
BARX1,stomach 1,158.3
NINJ1,bone marrow,270.8
CA6,salivary gland,8839.7
MAP1B,blood vessel,83.8
MAP1B,brain,116.7
MAP1B,retina,143.5
RHOXF2,testis,3.9
CKMT2,heart muscle,1157.4
CKMT2,skeletal muscle,1341.7
CKMT2,tongue,2166.2
KRT34,skin 1,64.6
KRT33B,skin 1,74.2
TNS4,skin 1,193.9
TNS4,vagina,70.2
TOP2A,lymphoid tissue,119.0
TOP2A,testis,62.4
PPP1R1B,brain,1368.7
PPP1R1B,choroid plexus,1463.9
KHDRBS3,testis,147.1
FMO5,liver,638.8
PRKAB2,skeletal muscle,91.1
PRKAB2,tongue,97.0
FSHB,pituitary gland,198.9
PDHA1,heart muscle,239.9
PDHA1,skeletal muscle,209.1
PDHA1,tongue,419.9
MCCC2,liver,109.5
ZSCAN5A,testis,17.0
USP29,bone marrow,1.5
USP29,testis,4.6
LLGL1,brain,64.9
NR0B2,intestine,72.2
NR0B2,liver,140.3
LIN28A,testis,4.9
C19orf12,adipose tissue,110.6
C19orf12,tongue,98.1
LRRC9,choroid plexus,2.5
LRRC9,testis,5.4
ABHD12B,brain,6.3
ABHD12B,retina,13.3
ABHD12B,skin 1,9.8
GCH1,bone marrow,29.6
GCH1,liver,58.1
LGALS3,intestine,1118.6
PODNL1,blood vessel,12.7
ZSWIM4,esophagus,11.0
BRME1,testis,13.5
RTBDN,retina,267.5
MATN3,lung,12.5
MATN3,placenta,10.6
SPATA6,testis,46.8
CCT6B,testis,117.9
RAF1,skeletal muscle,163.1
SLC6A11,brain,77.7
PPARG,adipose tissue,153.2
PPARG,breast,83.9
NUP210,bone marrow,36.8
NUP210,lymphoid tissue,30.8
FCRLA,lymphoid tissue,92.1
HSD17B7,liver,64.5
EMILIN2,parathyroid gland,71.6
CNGA4,fallopian tube,16.2
CNGA4,testis,5.9
EFR3A,retina,112.6
IMMT,tongue,270.0
IQCA1,brain,23.7
IQCA1,choroid plexus,47.4
IQCA1,thyroid gland,18.0
RAMP1,blood vessel,533.5
RAMP1,endometrium 1,693.9
SCLY,liver,37.5
PTPRE,bone marrow,44.3
RAP1GAP2,bone marrow,26.2
RAP1GAP2,pancreas,36.5
INPP5K,choroid plexus,137.9
SERPINF1,choroid plexus,4585.5
UBE2G1,skeletal muscle,190.2
COQ3,tongue,47.7
POPDC3,heart muscle,19.4
POPDC3,skeletal muscle,76.4
POPDC3,tongue,27.6
DDC,intestine,156.1
DDC,kidney,294.0
DDC,retina,162.8
FTHL17,testis,3.8
GRSF1,skeletal muscle,242.1
ENAM,epididymis,7.1
ENAM,heart muscle,6.1
ENAM,kidney,8.4
ENAM,skeletal muscle,4.5
JCHAIN,breast,2822.4
JCHAIN,intestine,7466.4
JCHAIN,stomach 1,5567.4
ITGB4,salivary gland,198.1
ITGB4,skin 1,198.6
H3-3B,bone marrow,3984.2
CLEC10A,lymphoid tissue,27.7
SLC52A1,intestine,33.6
SLC52A1,placenta,17.2
SLC52A1,skin 1,10.4
GUCY2D,retina,31.7
DLG4,brain,211.2
DLG4,retina,200.9
RIDA,kidney,462.4
RIDA,liver,1435.3
RGS22,testis,57.3
REEP2,brain,141.9
REEP2,choroid plexus,97.9
PCBD2,skeletal muscle,46.2
PCBD2,tongue,40.0
MTSS2,brain,289.4
ANKEF1,pancreas,13.2
SCP2D1,testis,62.0
SNAP25,brain,2270.3
BTBD3,brain,65.8
PCNA,bone marrow,361.5
RHBG,brain,3.0
RHBG,kidney,10.3
ATP1A4,placenta,5.9
ATP1A4,testis,15.4
ATP1A4,urinary bladder,4.8
NES,heart muscle,151.3
BCAN,brain,236.6
CRP,liver,8524.7
RAB25,esophagus,407.1
RAB25,skin 1,203.2
HAPLN2,brain,659.7
APCS,liver,3389.4
FCRL2,intestine,19.5
FCRL2,lymphoid tissue,33.2
SYT11,brain,227.7
ACY3,intestine,73.0
ACY3,kidney,55.1
ACY3,liver,32.2
ACY3,pancreas,20.9
ALDH3B2,breast,68.4
ALDH3B2,esophagus,157.7
ALDH3B2,skin 1,126.8
TESMIN,testis,49.1
MMACHC,liver,16.2
RBM38,bone marrow,251.7
RBM38,skeletal muscle,261.1
VSTM2L,brain,98.0
VSTM2L,heart muscle,78.7
VSTM2L,lymphoid tissue,28.5
DMGDH,kidney,158.2
DMGDH,liver,265.4
BHMT2,kidney,310.9
BHMT2,liver,401.8
KANK4,adipose tissue,10.1
KANK4,brain,9.2
KANK4,pancreas,12.7
KANK4,placenta,10.1
ANGPTL3,liver,631.8
SYT4,brain,140.6
SLC14A2,kidney,4.3
FBXO44,brain,260.4
NMUR2,stomach 1,1.0
NMUR2,testis,1.5
PDE6A,retina,1001.0
ATP8A2,brain,17.8
ATP8A2,pituitary gland,13.6
ATP8A2,retina,13.7
MTUS2,blood vessel,12.9
MTUS2,heart muscle,47.0
XPO4,skeletal muscle,41.5
TPTE2,testis,6.9
ALOX5AP,bone marrow,460.3
ALOX5AP,lung,172.6
ALOX5AP,lymphoid tissue,141.7
WASF3,brain,58.7
WASF3,retina,52.2
RNF17,testis,22.7
GPR12,brain,11.6
GPR12,retina,7.8
GPR12,skin 1,5.1
CHRM3,salivary gland,16.5
MYH8,esophagus,15.0
MYH8,lymphoid tissue,10.0
MYH8,skeletal muscle,16.1
MYH8,tongue,9.4
MYH10,blood vessel,253.8
PEMT,epididymis,156.9
PEMT,liver,259.1
CHI3L1,choroid plexus,347.9
CHI3L1,liver,423.6
MYBPH,salivary gland,17.1
MYBPH,skeletal muscle,72.9
MYBPH,tongue,18.2
CHIT1,bone marrow,47.0
CHIT1,lung,34.3
CHIT1,lymphoid tissue,20.4
SLC41A1,heart muscle,93.1
SLC41A1,pancreas,58.1
SLC41A1,tongue,71.0
LGR6,blood vessel,66.9
TMCC2,bone marrow,83.1
TMCC2,brain,29.0
DCLK1,brain,93.3
CCNA1,parathyroid gland,20.9
CCNA1,testis,76.0
TRPC4,endometrium 1,11.2
TRPC4,smooth muscle,11.8
POSTN,skin 1,195.7
POSTN,stomach 1,165.0
TPT1,skeletal muscle,21778.2
STOML3,fallopian tube,32.8
KL,kidney,120.2
KL,parathyroid gland,127.3
IRS4,brain,6.0
IRS4,pituitary gland,23.6
MORC4,placenta,74.7
BEX2,brain,301.2
BEX2,pituitary gland,199.0
RNF128,intestine,58.4
RNF128,liver,116.5
GNG5B,choroid plexus,1.5
GNG5B,liver,1.3
BEX1,brain,602.9
BEX1,pituitary gland,418.3
FAM104A,testis,92.9
EPHB2,intestine,21.9
BTBD2,brain,159.5
PRAM1,bone marrow,91.5
PDE6B,retina,357.2
HSPBP1,brain,118.3
SLF1,testis,7.2
MACROD1,skeletal muscle,270.3
WDR74,bone marrow,119.2
LGALS12,adipose tissue,73.5
LGALS12,breast,39.7
RTN3,brain,620.3
PLAAT2,intestine,63.9
MYH11,blood vessel,2385.4
MYH11,intestine,3136.0
MYH11,urinary bladder,2375.2
PDZD2,heart muscle,17.6
LARGE1,heart muscle,57.6
GSTT2B,adrenal gland,79.0
GSTT2B,breast,289.9
MYO18B,heart muscle,114.3
MYO18B,skeletal muscle,251.6
MYO18B,tongue,51.9
C1QTNF6,endometrium 1,29.8
C1QTNF6,placenta,27.9
FAM83F,esophagus,18.9
FAM83F,testis,38.9
SEC14L4,bone marrow,7.7
SEC14L4,liver,18.0
GIMAP6,lymphoid tissue,60.3
GIMAP4,lymphoid tissue,119.6
AGAP3,brain,264.6
KRBA1,heart muscle,37.5
ACTR3B,brain,51.8
NTS,intestine,156.1
BTG1,bone marrow,88.7
LRRIQ1,choroid plexus,13.3
LRRIQ1,fallopian tube,12.9
LRRIQ1,testis,14.5
SFTPD,lung,479.1
DYDC2,choroid plexus,25.3
DYDC2,fallopian tube,91.5
SPINK5,cervix,538.7
SPINK5,esophagus,953.6
SPINK5,lymphoid tissue,274.6
SPINK5,skin 1,300.2
SPINK5,vagina,552.2
LRRCC1,testis,31.3
E2F5,lymphoid tissue,27.7
CA1,bone marrow,1694.4
CA1,intestine,1982.3
LYVE1,adipose tissue,118.2
LYVE1,placenta,140.3
AMPD3,bone marrow,56.8
AMPD3,skeletal muscle,61.1
MICAL2,brain,138.2
HSD17B4,liver,308.8
TEX15,endometrium 1,6.3
TEX15,smooth muscle,4.9
TEX15,testis,11.3
DUSP26,skeletal muscle,394.8
DUSP26,tongue,190.8
GSC,adipose tissue,4.0
GSC,breast,7.1
DGLUCY,tongue,152.7
UNC79,brain,12.8
UNC79,pituitary gland,11.1
UNC79,retina,5.0
CATSPERB,pancreas,10.3
VRTN,epididymis,1.4
VRTN,testis,1.6
TTC9,esophagus,60.0
ADAM20,testis,4.9
LOXL2,smooth muscle,38.5
PEBP4,epididymis,361.1
PEBP4,skeletal muscle,628.6
PEBP4,tongue,542.1
ADAMDEC1,intestine,400.1
MRO,brain,36.3
MRO,kidney,22.5
MRO,testis,27.1
CCNB1,bone marrow,49.9
CCNB1,lymphoid tissue,70.9
CD180,lymphoid tissue,21.8
IRAK2,bone marrow,21.9
CAMK1,adrenal gland,99.5
EDEM1,lymphoid tissue,73.6
CNTN6,adrenal gland,3.2
CNTN6,brain,8.8
CNTN6,thyroid gland,9.0
CHL1,brain,62.8
CHL1,ovary,31.9
MEIS2,salivary gland,45.2
TRPM1,retina,16.2
TRPM1,skin 1,4.6
GNAT2,retina,73.0
GSTM1,liver,569.8
REG4,intestine,623.9
TSPAN2,intestine,48.1
TSHB,pituitary gland,1603.2
GSTM5,breast,874.2
GSTM3,choroid plexus,93.2
SYT6,brain,7.4
SYT6,pancreas,2.9
VAV3,kidney,78.4
CHIA,stomach 1,339.8
PSRC1,brain,91.4
PSRC1,retina,38.7
HMGCS2,liver,2275.9
PTPN22,bone marrow,35.9
PTPN22,lymphoid tissue,19.0
ADAM30,testis,24.2
TRIM45,skeletal muscle,27.3
CD101,bone marrow,4.4
CD101,intestine,5.9
CD101,lung,6.3
VTCN1,breast,94.8
VTCN1,fallopian tube,30.5
VTCN1,pancreas,28.4
NGF,heart muscle,21.9
NGF,ovary,19.3
FKBP11,pancreas,466.6
ARF3,brain,271.2
GRHL1,esophagus,114.7
GRHL1,skin 1,84.6
GRHL1,vagina,65.5
RSAD2,salivary gland,19.7
MYCN,brain,5.8
MYCN,placenta,7.7
LPIN1,skeletal muscle,180.0
LPIN1,tongue,128.3
