year,geo_name,short_indicator_text,long_indicator_text,stratification1,stratification_group1,stratification2,stratification_group2,cost_value
2021,District Of Columbia,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,65-74,149.0
2021,New Hampshire,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,65-74,6.2
2021,Wisconsin,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,65+,1357.0
2021,Alabama,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,18-74,1173.0
2021,Virginia,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Females,Age,45-64,335.8
2021,Louisiana,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-74,471.1
2021,Arkansas,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-44,28.3
2021,New York,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,1007.0
2021,Vermont,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,105.6
2021,Washington,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-44,266.1
2021,Kentucky,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,45-64,1103.4
2021,South Dakota,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,45-64,4650.0
2021,Vermont,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,45-64,12.0
2021,Rhode Island,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-74,204.8
2021,Louisiana,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,19-64,4490.9
2021,North Dakota,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-74,794.0
2021,Alaska,All Payers,"Annual Direct Medical Costs Attributable to Diabetes, All Payers",Sex,Overall,Age,65+,10788.0
2021,North Carolina,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,65-74,4888.0
2021,Virginia,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,18+,579.0
2021,Rhode Island,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,45-64,87.2
2021,Arizona,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-74,552.2
2021,Connecticut,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,65-74,400.0
2021,Indiana,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,3433.0
2021,Georgia,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,395.0
2021,Colorado,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,65-74,79.2
2021,Texas,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19+,32828.9
2021,Montana,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,45-64,16.5
2021,Maryland,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,45-64,137.5
2021,Rhode Island,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-44,2.4
2021,District Of Columbia,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,45-64,173570.0
2021,Utah,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,16.1
2021,Pennsylvania,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,65-74,1782.0
2021,Maryland,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,18-44,4.4
2021,Nebraska,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,585.0
2021,Maine,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,45-64,3877.0
2021,Alabama,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,45-64,5586.0
2021,Montana,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,45-64,6.8
2021,Rhode Island,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,65+,383.4
