year,geo_name,short_indicator_text,long_indicator_text,stratification1,stratification_group1,stratification2,stratification_group2,cost_value
2021,Kansas,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19-64,1200.6
2021,New Jersey,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,443.0
2021,Wyoming,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-74,71400.0
2021,North Carolina,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-74,2454.8
2021,Kentucky,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-74,16.0
2021,West Virginia,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,45-64,242.2
2021,California,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,19+,80924.5
2021,Florida,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-44,16.1
2021,Connecticut,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,18-74,90960.0
2021,South Carolina,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-44,2.9
2021,Maryland,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,3649.0
2021,Vermont,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,0.7
2021,New Jersey,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,45-64,775.0
2021,Iowa,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,1195.0
2021,Indiana,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,19+,21144.0
2021,Ohio,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,75+,8.6
