go_id,aspect
GO:0032496,P
GO:0007283,P
GO:0008584,P
GO:0000121,F
GO:0008967,F
GO:0043136,F
GO:0006114,P
GO:0006650,P
GO:0045721,P
GO:0110052,P
GO:0000423,P
GO:0007160,P
GO:0007346,P
GO:0009986,C
GO:0005694,C
GO:0009267,P
GO:0051726,P
GO:0004222,F
GO:0017147,F
GO:0030178,P
GO:0031334,P
GO:0031090,C
GO:0044853,C
GO:0005319,F
GO:0019433,P
GO:0005902,C
GO:0010360,P
GO:0030335,P
GO:0090314,P
GO:0046624,F
GO:0006869,P
GO:0030148,P
GO:0034553,P
GO:0007009,P
GO:0055091,P
GO:0071709,P
GO:0097035,P
GO:0032991,C
GO:0106333,C
GO:0062105,F
GO:0001650,C
GO:0031428,C
GO:0009048,P
GO:0043584,P
GO:0045739,P
GO:2000042,P
GO:2001034,P
GO:0001740,C
GO:0035861,C
GO:0034618,F
GO:0061700,C
GO:1903577,P
GO:0090630,P
GO:0032695,P
GO:0032696,P
GO:0032731,P
GO:0032733,P
GO:0032755,P
GO:0032760,P
GO:0043410,P
GO:0050729,P
GO:0050867,P
GO:0051928,P
GO:0061098,P
GO:0051255,P
GO:0051233,C
GO:0008289,F
GO:0042953,P
GO:0097228,C
GO:0097229,C
GO:0001666,P
GO:0035278,P
GO:0035331,P
GO:0043565,F
GO:0071424,F
GO:0070475,P
GO:0180026,P
GO:0034708,C
GO:0005879,C
GO:0070059,P
GO:0047613,F
GO:0002760,P
GO:0006952,P
GO:0072573,P
GO:0033819,F
GO:0009107,P
GO:0009249,P
GO:0005912,C
GO:0000981,F
GO:0030225,P
GO:0045121,C
GO:0005179,F
GO:0002528,P
GO:0002675,P
GO:0030155,P
GO:0010801,P
GO:0032435,P
GO:1902915,P
GO:0140311,F
GO:0062026,P
GO:1900426,P
GO:0030336,P
GO:0051013,P
GO:0031252,C
GO:0031012,C
GO:0005589,C
GO:0008380,P
GO:0046676,P
GO:0030282,P
GO:0060349,P
GO:0004984,F
GO:0070374,P
GO:0070740,F
GO:0018095,P
GO:0000922,C
GO:0004197,F
GO:0004843,F
GO:0051607,P
GO:0071108,P
