gene_symbol,total_submissions,total_alleles,pathogenic_likely_pathogenic_alleles,uncertain_alleles,conflict_alleles,yield_bin
AFF1,299,282,3.0,191.0,0.0,1-5
AFF1-AS1,10,10,,,,none
AFF2,1039,800,27.0,310.0,13.0,21-100
AFF3,425,358,15.0,226.0,9.0,6-20
AFF4,1114,782,6.0,424.0,24.0,6-20
AFF4-DT,5,5,,,,none
AFG1L,113,110,,79.0,0.0,none
AFG2A,1327,978,121.0,406.0,29.0,100+
AFG2B,257,202,22.0,134.0,3.0,21-100
AFG3L2,1155,707,72.0,303.0,31.0,21-100
AFM,132,131,,102.0,0.0,none
AFMID,111,85,,42.0,0.0,none
AFP,146,132,3.0,82.0,0.0,1-5
AFTPH,260,172,1.0,131.0,0.0,1-5
AFTPH-DT,4,4,,1.0,0.0,none
AGA,1056,684,130.0,149.0,11.0,100+
AGA-DT,39,39,1.0,1.0,0.0,1-5
AGAP1,587,507,13.0,245.0,2.0,6-20
AGAP1-IT1,23,23,,1.0,0.0,none
AGAP10,108,104,,18.0,0.0,none
AGAP11,59,57,2.0,9.0,0.0,1-5
AGAP2,213,196,,147.0,0.0,none
AGAP2-AS1,49,49,,33.0,0.0,none
AGAP3,260,240,1.0,122.0,0.0,1-5
AGAP4,194,192,,152.0,1.0,none
AGAP5,153,148,,125.0,0.0,none
AGAP6,218,217,,162.0,0.0,none
AGAP9,118,114,,20.0,0.0,none
AGBL1,320,292,4.0,204.0,4.0,1-5
AGBL1-AS1,9,9,,,,none
AGBL2,163,139,,93.0,1.0,none
AGBL3,190,173,2.0,114.0,0.0,1-5
AGBL4,186,181,,143.0,0.0,none
AGBL4-AS1,6,6,,3.0,0.0,none
AGBL4-IT1,7,7,,3.0,0.0,none
AGBL5,973,777,42.0,415.0,7.0,21-100
AGBL5-AS1,8,8,,2.0,0.0,none
AGER,146,117,,72.0,2.0,none
AGFG1,115,110,,51.0,0.0,none
AGFG2,113,110,,68.0,0.0,none
AGGF1,133,125,1.0,84.0,0.0,1-5
AGK,740,480,57.0,151.0,24.0,21-100
AGK-DT,23,22,,1.0,0.0,none
AGL,5317,3103,649.0,1075.0,73.0,100+
AGMAT,130,113,1.0,69.0,0.0,1-5
AGMO,283,235,7.0,154.0,2.0,6-20
AGO1,287,210,16.0,132.0,4.0,6-20
AGO2,338,281,18.0,134.0,1.0,6-20
AGO3,127,101,3.0,54.0,0.0,1-5
AGO4,136,118,,86.0,0.0,none
AGPAT1,30,28,,14.0,0.0,none
AGPAT2,629,380,37.0,150.0,22.0,21-100
AGPAT3,170,155,1.0,44.0,0.0,1-5
AGPAT4,94,89,,41.0,0.0,none
AGPAT4-IT1,17,17,,2.0,0.0,none
AGPAT5,219,210,2.0,83.0,0.0,1-5
AGPS,1077,852,34.0,211.0,18.0,21-100
AGPS-DT,19,16,,1.0,0.0,none
AGR2,90,87,10.0,34.0,0.0,6-20
AGR3,111,93,,36.0,0.0,none
AGRN,4045,2737,72.0,1172.0,70.0,21-100
AGRP,64,58,,25.0,0.0,none
AGT,500,326,19.0,152.0,24.0,6-20
AGTPBP1,307,237,26.0,134.0,3.0,21-100
AGTR1,295,203,16.0,113.0,6.0,6-20
AGTR2,255,230,,51.0,2.0,none
AGTRAP,107,99,,40.0,0.0,none
AGXT,2157,1162,355.0,211.0,43.0,100+
AGXT2,145,118,,76.0,0.0,none
AHCTF1,534,457,1.0,301.0,0.0,1-5
AHCY,525,405,19.0,157.0,22.0,6-20
AHCYL1,63,57,,26.0,0.0,none
AHCYL2,155,118,2.0,71.0,0.0,1-5
AHDC1,2228,1492,185.0,599.0,97.0,100+
AHI1,2936,1836,303.0,643.0,91.0,100+
AHI1-DT,8,8,1.0,,,1-5
AHNAK,1224,1128,3.0,922.0,17.0,1-5
AHNAK2,2429,2292,1.0,1522.0,62.0,1-5
AHR,687,595,9.0,319.0,1.0,6-20
AHRR,391,351,,169.0,0.0,none
AHSA1,86,76,,38.0,0.0,none
AHSG,138,123,1.0,52.0,1.0,1-5
AHSP,36,32,,20.0,0.0,none
AICDA,479,346,40.0,137.0,7.0,21-100
AIDA,79,70,1.0,33.0,0.0,1-5
AIF1,72,53,,23.0,0.0,none
AIF1L,71,68,,29.0,0.0,none
AIFM1,1401,964,47.0,250.0,33.0,21-100
AIFM2,108,87,,62.0,0.0,none
AIFM3,559,536,2.0,151.0,0.0,1-5
AIG1,68,60,,37.0,0.0,none
AIM2,74,66,,40.0,1.0,none
AIMP1,309,191,22.0,89.0,3.0,21-100
AIMP2,332,276,21.0,131.0,1.0,21-100
AIP,2203,1270,81.0,658.0,66.0,21-100
AIPL1,1161,642,87.0,252.0,30.0,21-100
AIRE,2465,1472,238.0,457.0,41.0,100+
AIRIM,26,18,,6.0,0.0,none
AIRN,33,31,,4.0,0.0,none
AJAP1,169,165,6.0,68.0,0.0,6-20
AJM1,98,90,,7.0,0.0,none
AJUBA,102,94,,58.0,0.0,none
AK1,222,152,12.0,46.0,2.0,6-20
AK2,412,285,38.0,106.0,4.0,21-100
AK3,242,240,,60.0,0.0,none
AK4,111,66,,32.0,0.0,none
AK5,117,111,1.0,76.0,0.0,1-5
AK6,42,41,,31.0,0.0,none
AK7,564,490,4.0,239.0,4.0,1-5
