year,geoid,sex,race_ethnicity,rate,unit,rate_type
2022,02013,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02020,Female,Overall,70.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02050,Female,Overall,178.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02060,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02068,Female,Overall,82.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02070,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02090,Female,Overall,75.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02100,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02105,Female,Overall,124.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02110,Female,Overall,54.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02122,Female,Overall,65.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02130,Female,Overall,29.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02150,Female,Overall,63.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02158,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02164,Female,Overall,65.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02170,Female,Overall,81.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02180,Female,Overall,78.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02185,Female,Overall,100.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02188,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02195,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02198,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02220,Female,Overall,104.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02230,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02240,Female,Overall,79.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02261,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02275,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02282,Female,Overall,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02290,Female,Overall,81.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02013,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02020,Overall,White,64.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02050,Overall,White,67.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02060,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02068,Overall,White,84.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02070,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02090,Overall,White,78.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02100,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02105,Overall,White,52.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02110,Overall,White,42.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02122,Overall,White,61.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02130,Overall,White,36.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02150,Overall,White,56.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02158,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02164,Overall,White,53.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02170,Overall,White,80.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02180,Overall,White,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02185,Overall,White,4.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
