gene_symbol
PLTP
SLCO1B1
SELP
NCAM1
METTL24
GCKR
DOCK7
APOE
APOC4
APOC1P1
SPRYD4
GZMH
H2BC4
SERPINE2
ANKRD31
APOB
CAST
RPL7AP64
GP6
LIPG
PDXDC1
CCND3
TMCC2
DNM3
TRIB1AL
PXN
FCRLA
LTF
IL18R1
CFAP144P2
IL1RL1
HBS1L
MMP8
CASR
ZCWPW1
UGT1A4
TMPRSS6
FADS1
LINC01013
CD33
LINC02283
CCL15
ABO
HEATR1
BCAM
CEACAM16
LDLR
PCSK9
IGHEP1
LPL
SAA1
TOMM40
NECTIN2
HERPUD1
SIRPA
MANEA
TRIM58
RHOBTB3
PGLYRP1
ARHGEF3
MLXIPL
APOC1
LINC03114
ZPR1
CD70
LPA
CYP3A5
NAAA
MAP4K5
LINC01438
RN7SL824P
PYROXD2
CELSR2
DELEC1
B3GNT8
SYN3
TMEM120B
RN7SKP146
ALMS1P1
ALDH1A2
LGALS3
FBXO34
FADS2
NAT2
DMXL2
CTRC
CTRB2
TMPRSS11E
IL6R
COMT
KIR3DL2
SMUG1P1
SCIRT
MCM8
TNFSF14
SLC22A2
GPLD1
SARM1
MIF
ITGA4
LINC02482
RNF115
LINC02571
SMARCA4
TNFSF12
Y_RNA
CFHR1
JAML
PDGFRB
LINC01625
PLA2G2A
ST3GAL6
TCF7L2
CFH
ACADL
ATP6V0A1
CXCL1
PF4
VASN
CALCRL
LIPC
ALMS1
TREML2
SERPING1
ALDH1L1
SPC25
GRAMD1C
CRP
TMEM150B
MIP
ITIH5
PRKCE
NUP43
HERC2
CD6
MGMT
SCARA5
SIGLEC1
CRPP1
USP40
FUT6
ENTPD1
HEATR4
KCNQ1
BTN3A2
ADAMTS13
SERPINB6
LTBR
H1
TTC21B
CSRNP3
ACADS
CPXM1
ZBTB16
TDRKH
PRTFDC1
MYRF
GNLY
ROR1
HLA
CPS1
SCG5
IL7R
SERPINA1
SIRPB1
FUT2
VWF
JMJD1C
CST3
WFDC5
LGALS8
ATP6V1G1P1
FAS
ACTA2
TCN2
F5
CCN3
CD109
TM6SF2
IGHG1
RPS27AP19
GSTO1
SIGLEC12
GRK5
IGHG3
FCRLB
MROH2A
UGT1A8
UGT1A9
MICA
CYP3A7
PILRA
CASTOR3P
RNU6
SIGLEC9
FCGR3B
RPL31P11
SAG
PICK1
ZP3
OXT
AZU1
DNAJB3
UGT1A10
SULT2A1
PHTF1
CERT1
TACC3
SLAMF7
PSCA
LY6D
SHANK1
GAS6
MGAT5
APOH
EPO
SYN2
SPINK1
CCL3
CCL16
KLF2
SMOX
ABCB4
LINC00523
ASH1L
CFHR5
ITGA6
PDIA5
SSC4D
INHBC
RAB11B
CST9
MUC19
USP49
NPRL3
LNCAROD
SCGB3A2
TMEM97P1
CLEC4E
CLEC6A
CDH23
GMPR
CSF2RA
NFATC1
CSTB
ACP6
ADGRE5
TRIM5
HEPACAM2
SH2B3
RNPEPL1
XKR9
CXCL2
RN7SL261P
UMOD
SORCS2
BCO2
CCDC71L
PROK2
EPHA2
PDE8B
VSTM1
HNF1A
BOLA1
CASP8
EXOC3L4
TAPBPL
EEF1GP7
ERBB3
C12orf60
H3C3
FAM200B
FLT3
RPAP1
NUCB2
KLK14
GPNMB
USP8P1
ZNF74
PNPLA3
SRRM3
SHMT1
HNMT
RBP5
SLC12A2
H2AC6
DDO
GIGYF1
RCL1
RUVBL2
HBZ
ABCA6
