pubmed_id,first_author,pub_date,journal,study_title
34021172,Christakoudi S,2021-05-21,Sci Rep,"GWAS of allometric body-shape indices in UK Biobank identifies loci suggesting associations with morphogenesis, organogenesis, adrenal cell renewal and cancer."
32376654,Richardson TG,2020-05-06,BMJ,Use of genetic variation to separate the effects of early and later life adiposity on disease risk: mendelian randomisation study.
20884846,Yang Q,2010-09-30,Circ Cardiovasc Genet,Multiple genetic loci influence serum urate levels and their relationship with gout and cardiovascular disease risk factors.
30046033,van Setten J,2018-07-25,Nat Commun,PR interval genome-wide association meta-analysis identifies 50 loci associated with atrial and atrioventricular electrical activity.
17952075,Sulem P,2007-10-21,Nat Genet,"Genetic determinants of hair, eye and skin pigmentation in Europeans."
28256260,Siitonen A,2017-02-02,Neurobiol Aging,Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.
37377963,Wen YP,2023-06-12,Front Immunol,Identifying shared genetic loci and common risk genes of rheumatoid arthritis associated with three autoimmune diseases based on large-scale cross-trait genome-wide association studies.
35872910,Carcel-Marquez J,2022-07-08,Front Cardiovasc Med,A Polygenic Risk Score Based on a Cardioembolic Stroke Multitrait Analysis Improves a Clinical Prediction Model for This Stroke Subtype.
28082259,Pankow JS,2017-01-12,Arterioscler Thromb Vasc Biol,Identification of Genetic Variants Linking Protein C and Lipoprotein Metabolism: The ARIC Study (Atherosclerosis Risk in Communities).
35389749,Nauffal V,2022-04-07,Circulation,Monogenic and Polygenic Contributions to QTc Prolongation in the Population.
25629528,Ruggiero D,2015-01-28,PLoS Genet,Genetic variants modulating CRIPTO serum levels identified by genome-wide association study in Cilento isolates.
36402844,van der Meer D,2022-11-19,Commun Biol,The link between liver fat and cardiometabolic diseases is highlighted by genome-wide association study of MRI-derived measures of body composition.
27386562,Andlauer TF,2016-06-17,Sci Adv,Novel multiple sclerosis susceptibility loci implicated in epigenetic regulation.
31152121,Zhu M,2019-05-31,Diabetes Care,Identification of Novel T1D Risk Loci and Their Association With Age and Islet Function at Diagnosis in Autoantibody-Positive T1D Individuals: Based on a Two-Stage Genome-Wide Association Study.
38789058,Casanova F,2024-05-22,Neurobiol Dis,"MRI-derived brain iron, grey matter volume, and risk of dementia and Parkinson's disease: Observational and genetic analysis in the UK Biobank cohort."
30111768,Yao C,2018-08-15,Nat Commun,Genome-wide mapping of plasma protein QTLs identifies putatively causal genes and pathways for cardiovascular disease.
40325049,Gu Y,2025-05-05,Nat Commun,Genetic architecture and risk prediction of gestational diabetes mellitus in Chinese pregnancies.
