entity,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Kosovo,OWID_KOS,2023-02-12,1837446.0,906858.0,825082.0,105506.0,50.89,46.3
Cook Islands,COK,2023-02-13,40854.0,15112.0,14728.0,10240.0,88.73,86.47
Guyana,GUY,2023-02-17,960133.0,495285.0,381984.0,82864.0,61.24,47.23
Cote d'Ivoire,CIV,2023-02-19,25263932.0,13568372.0,12164304.0,3138712.0,48.18,43.2
Nauru,NRU,2023-02-20,32157.0,13106.0,11346.0,7705.0,103.27,89.4
Vanuatu,VUT,2023-02-20,366638.0,176624.0,162250.0,27697.0,54.06,49.66
Kiribati,KIR,2023-02-20,219980.0,100900.0,81474.0,37606.0,76.88,62.08
Cyprus,CYP,2023-02-22,1798610.0,671193.0,646142.0,481275.0,74.91,72.11
Niue,NIU,2023-03-04,4923.0,1638.0,1635.0,1225.0,83.91,83.76
Tanzania,TZA,2023-03-12,39392419.0,34434933.0,32165791.0,,52.57,49.11
Grenada,GRD,2023-03-17,90686.0,44241.0,39034.0,7411.0,35.26,31.11
Anguilla,AIA,2023-03-17,,10854.0,10380.0,,68.36,65.38
Gambia,GMB,2023-03-19,1444492.0,674314.0,539186.0,53741.0,24.92,19.93
Lesotho,LSO,2023-03-19,1339097.0,1014073.0,938088.0,177816.0,43.98,40.68
Philippines,PHL,2023-03-19,189317158.0,82684774.0,78443972.0,23811248.0,71.55,67.88
Brazil,BRA,2023-03-22,486436436.0,189643431.0,176164186.0,126388587.0,88.08,81.82
Sint Maarten (Dutch part),SXM,2023-03-31,66829.0,29788.0,26773.0,9146.0,67.41,60.58
Ecuador,ECU,2023-03-31,39564195.0,15333873.0,14240587.0,10554926.0,85.18,79.11
Kenya,KEN,2023-04-02,23750431.0,14494372.0,11090440.0,2000636.0,26.83,20.53
Sudan,SDN,2023-04-02,22598737.0,15207452.0,13416394.0,3891363.0,32.44,28.62
Germany,DEU,2023-04-07,192221468.0,64876299.0,63563414.0,64791434.0,77.82,76.24
Seychelles,SYC,2023-04-09,224558.0,88520.0,83565.0,44936.0,82.62,78.0
Tonga,TON,2023-04-11,203208.0,87342.0,77360.0,38506.0,81.73,72.39
Macao,MAC,2023-04-13,1802985.0,679703.0,642266.0,481016.0,97.77,92.39
Samoa,WSM,2023-04-17,453083.0,191403.0,177954.0,82268.0,86.07,80.02
