mec_id,molecule_chembl_id,target_chembl_id,action_type,mechanism_of_action,max_phase,direct_interaction,disease_efficacy,molecular_mechanism
4153,CHEMBL3182621,CHEMBL2964,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,1,True,True,True
4154,CHEMBL3644672,CHEMBL3145,INHIBITOR,PI3-kinase p110-beta subunit inhibitor,1,True,True,True
4155,CHEMBL3644672,CHEMBL4005,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,1,True,True,True
4156,CHEMBL4751394,CHEMBL4282,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,1,True,True,True
4157,CHEMBL4751394,CHEMBL2431,INHIBITOR,Serine/threonine-protein kinase AKT2 inhibitor,1,True,True,True
4158,CHEMBL4303241,CHEMBL3983,INHIBITOR,Dual specificity protein kinase TTK inhibitor,2,True,True,True
4159,CHEMBL3963485,CHEMBL2095217,INHIBITOR,Fibroblast growth factor receptor inhibitor,2,True,True,True
4160,CHEMBL4209157,CHEMBL5145,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,2,True,True,True
4161,CHEMBL3657311,CHEMBL2695,INHIBITOR,Focal adhesion kinase 1 inhibitor,2,True,True,True
4162,CHEMBL258940,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,2,True,True,True
4163,CHEMBL103667,CHEMBL260,INHIBITOR,MAP kinase p38 alpha inhibitor,2,True,True,True
4164,CHEMBL296468,CHEMBL301,INHIBITOR,Cyclin-dependent kinase 2 inhibitor,1,True,True,True
4165,CHEMBL296468,CHEMBL3055,INHIBITOR,Cyclin-dependent kinase 7 inhibitor,1,True,True,True
4166,CHEMBL296468,CHEMBL3116,INHIBITOR,Cyclin-dependent kinase 9 inhibitor,1,True,True,True
4167,CHEMBL3545299,CHEMBL3717,INHIBITOR,Hepatocyte growth factor receptor inhibitor,1,True,True,True
4168,CHEMBL3545050,CHEMBL3717,INHIBITOR,Hepatocyte growth factor receptor inhibitor,1,True,True,True
4169,CHEMBL3545050,CHEMBL279,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,1,True,True,True
4170,CHEMBL3545247,CHEMBL3130,INHIBITOR,PI3-kinase p110-delta subunit inhibitor,1,True,True,True
4171,CHEMBL3545247,CHEMBL3267,INHIBITOR,PI3-kinase p110-gamma subunit inhibitor,1,True,True,True
4172,CHEMBL3586573,CHEMBL2842,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,2,True,True,True
4173,CHEMBL3586573,CHEMBL3142,INHIBITOR,DNA-dependent protein kinase inhibitor,2,True,True,True
4174,CHEMBL3301600,CHEMBL5251,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,2,True,True,True
4175,CHEMBL3910075,CHEMBL4128,INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor,1,True,True,True
4176,CHEMBL2010872,CHEMBL4128,INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor,2,True,True,True
4177,CHEMBL2010872,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,2,True,True,True
4178,CHEMBL2029988,CHEMBL5145,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,2,True,True,True
4179,CHEMBL2029988,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,2,True,True,True
4180,CHEMBL2029988,CHEMBL2041,INHIBITOR,Tyrosine-protein kinase receptor RET inhibitor,2,True,True,True
4181,CHEMBL3951811,CHEMBL4247,INHIBITOR,ALK tyrosine kinase receptor inhibitor,1,True,True,True
4182,CHEMBL3951811,CHEMBL2695,INHIBITOR,Focal adhesion kinase 1 inhibitor,1,True,True,True
4183,CHEMBL150894,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,1,True,True,True
4184,CHEMBL346631,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,1,True,True,True
4185,CHEMBL3545427,CHEMBL1936,INHIBITOR,Stem cell growth factor receptor inhibitor,3,True,True,True
4186,CHEMBL3545427,CHEMBL1974,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,3,True,True,True
4187,CHEMBL3545427,CHEMBL279,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,3,True,True,True
4188,CHEMBL3545427,CHEMBL1913,INHIBITOR,Platelet-derived growth factor receptor beta inhibitor,3,True,True,True
4189,CHEMBL3545300,CHEMBL2095217,INHIBITOR,Fibroblast growth factor receptor inhibitor,1,True,True,True
4190,CHEMBL3545300,CHEMBL5274,INHIBITOR,Tyrosine-protein kinase receptor Tie-1 inhibitor,1,True,True,True
4191,CHEMBL3545300,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,1,True,True,True
4192,CHEMBL483321,CHEMBL1824,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,2,True,True,True
4193,CHEMBL5095033,CHEMBL2185,INHIBITOR,Serine/threonine-protein kinase Aurora-B inhibitor,3,True,True,True
4194,CHEMBL5095033,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,3,True,True,True
4195,CHEMBL2035185,CHEMBL1974,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,1,True,True,True
4196,CHEMBL2035185,CHEMBL1844,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,1,True,True,True
4197,CHEMBL2035185,CHEMBL2971,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,1,True,True,True
4198,CHEMBL598797,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,1,True,True,True
4199,CHEMBL598797,CHEMBL1824,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,1,True,True,True
4200,CHEMBL598797,CHEMBL2093865,INHIBITOR,Histone deacetylase inhibitor,1,True,True,True
4201,CHEMBL3622533,CHEMBL3130,INHIBITOR,PI3-kinase p110-delta subunit inhibitor,2,True,True,True
4202,CHEMBL3622533,CHEMBL3145,INHIBITOR,PI3-kinase p110-beta subunit inhibitor,2,True,True,True
4203,CHEMBL3622533,CHEMBL4005,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,2,True,True,True
4204,CHEMBL3622533,CHEMBL2093865,INHIBITOR,Histone deacetylase inhibitor,2,True,True,True
4205,CHEMBL482967,CHEMBL3430911,INHIBITOR,Serine/threonine-protein kinase Aurora inhibitor,1,True,True,True
4206,CHEMBL482967,CHEMBL279,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,1,True,True,True
4207,CHEMBL3545365,CHEMBL3717,INHIBITOR,Hepatocyte growth factor receptor inhibitor,2,True,True,True
4208,CHEMBL3545365,CHEMBL4128,INHIBITOR,Tyrosine-protein kinase TIE-2 inhibitor,2,True,True,True
4209,CHEMBL3545365,CHEMBL279,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,2,True,True,True
4210,CHEMBL3545365,CHEMBL3559684,INHIBITOR,Neurotrophic tyrosine kinase receptor inhibitor,2,True,True,True
4211,CHEMBL3544963,CHEMBL2842,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,1,True,True,True
4212,CHEMBL3545248,CHEMBL2842,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,1,True,True,True
4213,CHEMBL3545248,CHEMBL3559703,INHIBITOR,PI3-kinase class I inhibitor,1,True,True,True
4214,CHEMBL3960488,CHEMBL3717,INHIBITOR,Hepatocyte growth factor receptor inhibitor,1,True,True,True
4215,CHEMBL3544964,CHEMBL3385,INHIBITOR,MAP kinase ERK1 inhibitor,2,True,True,True
4216,CHEMBL3544964,CHEMBL4040,INHIBITOR,MAP kinase ERK2 inhibitor,2,True,True,True
4217,CHEMBL3545249,CHEMBL2835,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,1,True,True,True
4218,CHEMBL3916717,CHEMBL5285,INHIBITOR,Mitogen-activated protein kinase kinase kinase 5 inhibitor,3,True,True,True
4219,CHEMBL3544966,CHEMBL3559703,INHIBITOR,PI3-kinase class I inhibitor,1,True,True,True
4220,CHEMBL1090479,CHEMBL2185,INHIBITOR,Serine/threonine-protein kinase Aurora-B inhibitor,1,True,True,True
4221,CHEMBL1090479,CHEMBL3935,INHIBITOR,Serine/threonine-protein kinase Aurora-C inhibitor,1,True,True,True
4222,CHEMBL1236962,CHEMBL3559703,INHIBITOR,PI3-kinase class I inhibitor,2,True,True,True
4223,CHEMBL1236962,CHEMBL2842,INHIBITOR,Serine/threonine-protein kinase mTOR inhibitor,2,True,True,True
4224,CHEMBL4742157,CHEMBL2695,INHIBITOR,Focal adhesion kinase 1 inhibitor,2,True,True,True
4225,CHEMBL3188551,CHEMBL3145,INHIBITOR,PI3-kinase p110-beta subunit inhibitor,2,True,True,True
4226,CHEMBL1908394,CHEMBL3024,INHIBITOR,Serine/threonine-protein kinase PLK1 inhibitor,1,True,True,True
4227,CHEMBL3544968,CHEMBL260,INHIBITOR,MAP kinase p38 alpha inhibitor,1,True,True,True
4228,CHEMBL494089,CHEMBL2111353,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,1,True,True,True
4229,CHEMBL494089,CHEMBL2094138,INHIBITOR,cAMP-dependent protein kinase (PKA) inhibitor,1,True,True,True
4230,CHEMBL494089,CHEMBL2093867,INHIBITOR,Protein kinase C (PKC) inhibitor,1,True,True,True
4231,CHEMBL3786343,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,4,True,True,True
4232,CHEMBL4163691,CHEMBL5251,INHIBITOR,Tyrosine-protein kinase BTK inhibitor,2,True,True,True
4233,CHEMBL3991927,CHEMBL3024,INHIBITOR,Serine/threonine-protein kinase PLK1 inhibitor,1,True,True,True
4234,CHEMBL4297190,CHEMBL3650,INHIBITOR,Fibroblast growth factor receptor 1 inhibitor,3,True,True,True
4235,CHEMBL4297190,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,3,True,True,True
4236,CHEMBL5314410,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,2,True,True,True
4237,CHEMBL5095034,CHEMBL2599,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,3,True,True,True
4238,CHEMBL5314411,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,1,True,True,True
4240,CHEMBL3109738,CHEMBL203,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,1,True,True,True
4241,CHEMBL3109738,CHEMBL1841,INHIBITOR,Tyrosine-protein kinase FYN inhibitor,1,True,True,True
4242,CHEMBL3109738,CHEMBL258,INHIBITOR,Tyrosine-protein kinase LCK inhibitor,1,True,True,True
4243,CHEMBL3109738,CHEMBL3905,INHIBITOR,Tyrosine-protein kinase Lyn inhibitor,1,True,True,True
4244,CHEMBL3109738,CHEMBL267,INHIBITOR,Tyrosine-protein kinase SRC inhibitor,1,True,True,True
4245,CHEMBL3109738,CHEMBL1955,INHIBITOR,Vascular endothelial growth factor receptor 3 inhibitor,1,True,True,True
4246,CHEMBL3109738,CHEMBL2073,INHIBITOR,Tyrosine-protein kinase YES inhibitor,1,True,True,True
4247,CHEMBL3109738,CHEMBL3009,INHIBITOR,Receptor protein-tyrosine kinase erbB-4 inhibitor,1,True,True,True
4248,CHEMBL3109738,CHEMBL1824,INHIBITOR,Receptor protein-tyrosine kinase erbB-2 inhibitor,1,True,True,True
4249,CHEMBL2133806,CHEMBL3717,INHIBITOR,Hepatocyte growth factor receptor inhibitor,1,True,True,True
4250,CHEMBL3674570,CHEMBL1844,INHIBITOR,Macrophage colony stimulating factor receptor inhibitor,2,True,True,True
4251,CHEMBL406381,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,1,True,True,True
4252,CHEMBL1908397,CHEMBL4722,INHIBITOR,Serine/threonine-protein kinase Aurora-A inhibitor,1,True,True,True
4253,CHEMBL1908397,CHEMBL2185,INHIBITOR,Serine/threonine-protein kinase Aurora-B inhibitor,1,True,True,True
4254,CHEMBL1908397,CHEMBL1974,INHIBITOR,Tyrosine-protein kinase receptor FLT3 inhibitor,1,True,True,True
4255,CHEMBL1908397,CHEMBL1862,INHIBITOR,Tyrosine-protein kinase ABL inhibitor,1,True,True,True
4256,CHEMBL333021,CHEMBL2095227,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,1,True,True,True
4257,CHEMBL3545074,CHEMBL260,INHIBITOR,MAP kinase p38 alpha inhibitor,1,True,True,True
4258,CHEMBL3651966,CHEMBL3559682,INHIBITOR,Serine/threonine-protein kinase PIM inhibitor,1,True,True,True
4259,CHEMBL3545263,CHEMBL5145,INHIBITOR,Serine/threonine-protein kinase B-raf inhibitor,1,True,True,True
4260,CHEMBL3545263,CHEMBL1906,INHIBITOR,Serine/threonine-protein kinase RAF inhibitor,1,True,True,True
4261,CHEMBL3889654,CHEMBL3559684,INHIBITOR,Neurotrophic tyrosine kinase receptor inhibitor,4,True,True,True
4262,CHEMBL5095023,CHEMBL2971,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,1,True,True,True
4263,CHEMBL3545076,CHEMBL4501,INHIBITOR,Ribosomal protein S6 kinase 1 inhibitor,1,True,True,True
4265,CHEMBL3545134,CHEMBL2111353,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,1,True,True,True
4266,CHEMBL3545134,CHEMBL2111330,INHIBITOR,Ribosomal protein S6 kinase (P70S6K) inhibitor,1,True,True,True
