reaction,event_count
Adenoviral haemorrhagic cystitis,
Amniotic cavity infection,
Anaemia,
Angioedema,
Anorectal discomfort,
Anxiety,
Arthralgia,
Asthenia,
Back pain,
Biliary tract disorder,
Blood creatinine increased,
Blood pressure increased,
C-reactive protein increased,
Cerebrovascular accident,
Chemical poisoning,
Cholecystectomy,
Cough,
DRUG ADMINISTRATION ERROR,
Death,
Device dislocation,
Diarrhoea,
Dizziness,
Drug hypersensitivity,
Drug ineffective,
Dry mouth,
Dyspepsia,
Dysphonia,
Dyspnoea,
Dyspnoea exertional,
Dysuria,
Emotional disorder,
Emotional distress,
Epistaxis,
Face oedema,
Fall,
Fatigue,
Feeling abnormal,
Fluid retention,
General physical health deterioration,
Haematoma,
Haemoptysis,
Headache,
Hepatic enzyme increased,
Hiccups,
Hypotension,
Hypoxia,
International normalised ratio increased,
Jaundice,
Laryngeal oedema,
Listeriosis,
Liver disorder,
Liver function test abnormal,
Localised oedema,
Lymphadenopathy,
Malaise,
Maternal exposure during pregnancy,
Meconium stain,
Meningitis,
Mental status changes,
Metastases to liver,
Metastases to lung,
Metastases to retroperitoneum,
Metastases to spine,
Metastases to thorax,
Myalgia,
Nail toxicity,
Nasal congestion,
Nasal dryness,
Neck pain,
Nephrolithiasis,
Neuropathy peripheral,
Ocular hyperaemia,
Oedema,
Oedema peripheral,
Overdose,
Pain,
Pain in extremity,
Palmar-plantar erythrodysaesthesia syndrome,
Pancreatic carcinoma metastatic,
Paraesthesia,
Peripheral venous disease,
Pleural effusion,
Pneumonia,
Pneumonia staphylococcal,
Proctalgia,
Product quality issue,
Prostate cancer,
Pruritus,
Pyrexia,
Rash generalised,
Rectal haemorrhage,
Renal cyst,
Renal impairment,
Respiratory failure,
Rhinorrhoea,
Skin toxicity,
Swelling,
Swollen tongue,
Throat irritation,
Thrombocytopenia,
Tremor,
Tuberculosis of central nervous system,
Type IV hypersensitivity reaction,
Unevaluable event,
Vomiting,
Weight decreased,
